file,delay_time
1,1698
2,1698
3,1698
4,1698
5,1698
6,1842
7,1842
8,1842
9,1878
10,1878
11,2058
12,2130
13,2130
14,2130
15,2130
16,1806
17,1806
18,1842
19,1878
20,1842
21,1842
22,1842
23,1842
24,1842
25,1878
26,1806
27,1806
28,1806
29,1842
30,1806
31,1878
32,1878
33,1878
34,1914
35,1914
36,1734
37,1734
38,1734
39,1770
40,1734
41,1914
42,1950
43,1914
44,1986
45,1950
46,1878
47,1914
48,1878
49,1914
50,1914
51,1842
52,1842
53,1842
54,1878
55,1878
56,1950
57,1878
58,1950
59,1914
60,1878
61,1914
62,1878
63,1914
64,1914
65,1878
66,1770
67,1770
68,1770
69,1770
70,1770
71,1806
72,1878
73,1842
74,1806
75,1842
